Source Plant,Main Allelochemical,Target Plants,Sensitivity,Effect,Group
Pepper,p-Coumaric acid,Redroot Pigweed,Moderate,Weakened Exhibition,Phenolic Compounds
Pepper,p-Coumaric acid,Redroot Pigweed,Moderate,Weakened Exhibition,Phenolic Compounds
Pepper,p-Coumaric acid,Purple Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Pepper,p-Coumaric acid,Purple Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Pepper,Phthalate esters,Redroot Pigweed,Moderate,Weakened Inhibition,Esters
Pepper,Phthalate esters,Purple Nutsedge,Moderate,Weakened Inhibition,Esters
Pigeon Pea,Phenolic acids,Purple Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Pigeon Pea,Phenolic acids,Purple Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Pigeon Pea,Phenolic acids,Crabgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Pigeon Pea,Phenolic acids,Crabgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Ragweed,Ambrosin,Wheat,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Ambrosin,Tomato,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Ambrosin,Maize,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Ambrosin,Crabgrass,High,Strong Inhibition,Terpenoids
Ragweed,Coronopilin,Wheat,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Coronopilin,Tomato,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Coronopilin,Maize,Moderate,Weakened Inhibition,Terpenoids
Ragweed,Coronopilin,Crabgrass,High,Strong Inhibition,Terpenoids
Ragweed,Parthenin,Wheat,High,Strong Inhibition,Terpenoids
Ragweed,Parthenin,Tomato,High,Strong Inhibition,Terpenoids
Ragweed,Parthenin,Maize,High,Strong Inhibition,Terpenoids
Ragweed,Parthenin,Crabgrass,High,Strong Inhibition,Terpenoids
Ragweed parthenium,Parthenin,Green Amaranth,High,Strong Inhibition,Terpenoids
Ragweed parthenium,Parthenin,Coffee Senna,High,Strong Inhibition,Terpenoids
Ragweed parthenium,Parthenin,Barnyard Grass,Moderate,Weakened Inhibition,Terpenoids
Ragweed parthenium,Parthenin,Small-Seeded Canary Grass,Moderate,Weakened Inhibition,Terpenoids
Rice,Ferulic acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Ferulic acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Ferulic acid,Smallflower Umbrella Sedge,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Ferulic acid,Smallflower Umbrella Sedge,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Caffeic acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Caffeic acid,Smallflower Umbrella Sedge,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,p-Coumaric acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,p-Coumaric acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,p-Coumaric acid,Smallflower Umbrella Sedge,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,p-Coumaric acid,Smallflower Umbrella Sedge,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,"Momilactone A, B (Diterpenoids)",Barnyardgrass,Moderate,Weakened Inhibition,Terpenoids
Rice,"Momilactone A, B (Diterpenoids)",Smallflower Umbrella Sedge,Moderate,Weakened Inhibition,Terpenoids
Rice,"Momilactone A, B (Diterpenoids)",Barnyardgrass,High,Strong Inhibition,Terpenoids
Rice,"Momilactone A, B (Diterpenoids)",Chinese Sprangletop,High,Strong Inhibition,Terpenoids
Rice,Momilactone B,Jungle Rice,Resistant,No Effect,Terpenoids
Rice,Momilactone B,Monarch Redstem,Moderate,Weakened Inhibition,Terpenoids
Rice,Momilactone B,Gulf Leaf Flower,Moderate,Weakened Inhibition,Terpenoids
Rice,Momilactone B,Flatsedge,Resistant,No Effect,Terpenoids
Rice,p-Coumaric acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,p-Coumaric acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Vanillic acid,Barnyardgrass,Resistant,No Effect,Phenolic Compounds
Rice,Ferulic acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Ferulic acid,Barnyardgrass,Moderate,Weakened Exhibition,Phenolic Compounds
Rice,Tricin,Jungle Rice,Resistant,No Effect,Phenolic Compounds
Rice,Tricin,Monarch Redstem,Resistant,No Effect,Phenolic Compounds
Rice,Tricin,Gulf Leaf Flower,Resistant,No Effect,Phenolic Compounds
Rice,Tricin,Flatsedge,Resistant,No Effect,Phenolic Compounds
River Red Gum,Limonene,Rigid Ryegrass,Moderate,Weakened Inhibition,Terpenoids
River Red Gum,Limonene,Barnyardgrass,Moderate,Weakened Inhibition,Terpenoids
River Red Gum,"1,8-Cineole",Rigid Ryegrass,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
River Red Gum,"1,8-Cineole",Barnyardgrass,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Rosemary,Rosmarinic acid,Cheatgrass,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Rosmarinic acid,Green Foxtail,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Carnosic acid,Cheatgrass,Moderate,Weakened Inhibition,Terpenoids
Rosemary,Carnosic acid,Green Foxtail,Moderate,Weakened Inhibition,Terpenoids
Rosemary,Rosmarinic acid,Lettuce,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Rosmarinic acid,Purslane,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Rosmarinic acid,Pathogens,Moderate,Strong Inhibition,Terpenoids
Rosemary,Rosmarinic acid,Competing Plants,Moderate,Weakened Inhibition,Terpenoids
Rosemary,Carnosic acid,Lettuce,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Carnosic acid,Purslane,Moderate,Weakened Exhibition,Terpenoids
Rosemary,Carnosic acid,Pathogens,Moderate,Strong Inhibition,Terpenoids
Rosemary,Carnosic acid,Competing Plants,Moderate,Weakened Inhibition,Terpenoids
Rye,Alkaloids,Lamb'S Quarters,Moderate,Weakened Inhibition,Alkaloids
Rye,Alkaloids,Quackgrass,Moderate,Weakened Inhibition,Alkaloids
Rye,Hydroxamic acids,Lamb'S Quarters,Moderate,Weakened Inhibition,Fatty Acids and Derivatives
Rye,Hydroxamic acids,Quackgrass,Moderate,Weakened Inhibition,Fatty Acids and Derivatives
Rye,"Benzoxazinoids (DIBOA,BOA)",Lamb'S Quarters,Moderate,Weakened Inhibition,
Rye,"Benzoxazinoids (DIBOA,BOA)",Pigweed,Moderate,Weakened Inhibition,
Sage,Camphor,Broadleaf Weeds,Moderate,Weakened Inhibition,Terpenoids
Sage,Camphor,Broadleaf Weeds,Moderate,Weakened Inhibition,Terpenoids
Sage,Cineole,Purslane,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Sage,Cineole,Purslane,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Sage,Cineole,Lamb'S Quarters,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Sage,Cineole,Lamb'S Quarters,Moderate,Weakened Inhibition,Essential Oils and Volatile Compounds
Sage,Camphor,Purslane,Moderate,Weakened Inhibition,Terpenoids
Sage,Camphor,Purslane,Moderate,Weakened Inhibition,Terpenoids
Sage,Camphor,Lamb'S Quarters,Moderate,Weakened Inhibition,Terpenoids
Sage,Camphor,Lamb'S Quarters,Moderate,Weakened Inhibition,Terpenoids
Sage,Thujone,Broadleaf Weeds,Moderate,Weakened Inhibition,Terpenoids
Sesame,Phenolic acids,Moso Bamboo,Moderate,Weakened Exhibition,Phenolic Compounds
Sesame,Phenolic acids,Moso Bamboo,Moderate,Weakened Exhibition,Phenolic Compounds
Sesame,Sesamol,Moso Bamboo,Moderate,Weakened Exhibition,Phenolic Compounds
Sesame,Sesamin,Moso Bamboo,Moderate,Weakened Exhibition,Phenolic Compounds
Shagbark Hickory,Juglone,Maize,High,Strong Inhibition,Quinones
Shagbark Hickory,Juglone,Wheat,High,Strong Inhibition,Quinones
Shepherd's Purse,Flavonoids,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Shepherd's Purse,Flavonoids,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Shepherd's Purse,Flavonoids,Dandelion,Moderate,Weakened Exhibition,Phenolic Compounds
Shepherd's Purse,Flavonoids,Dandelion,Moderate,Weakened Exhibition,Phenolic Compounds
Shepherd's Purse,Glucosinolates,Dandelion,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
Silver Wattle,Tannins,Perennial Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Silver Wattle,Tannins,Red Clover,Moderate,Weakened Exhibition,Phenolic Compounds
Silver Wattle,"2,6-Dimethoxy-1",Tomato,Moderate,Weakened Exhibition,Miscellaneous
Silver Wattle,4-benzoquinone,Tomato,High,Strong Inhibition,
Silver Wattle,Flavonoids,Perennial Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Silver Wattle,Flavonoids,Perennial Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Silver Wattle,Flavonoids,Red Clover,Moderate,Weakened Exhibition,Phenolic Compounds
Silver Wattle,Flavonoids,Red Clover,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum,Sorgoleone,Purple Nutsedge,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Barnyardgrass,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Crabgrass,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,False Cleavers,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Japanese Dock,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Indian Jointvetch,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Common Amaranth,High,Strong Inhibition,Quinones
Sorghum,Sorgoleone,False Cleavers,High,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Indian Jointvetch,High,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Chinese Plantain,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Redroot Pigweed,High,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,False Daisy,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Barnyard Grass,High,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Hairy Crabgrass,High,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Velvetleaf,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Barnyardgrass,Moderate,Weakened Exhibition,Quinones
Sorghum,Sorgoleone,Redroot Pigweed,Resistant,No Effect,Quinones
Sorghum bicolor,"Benzoxazinoids (DIBOA,DIMBOA,BOA)",Wild Oat,Moderate,Weakened Inhibition,
Sorghum bicolor,"Benzoxazinoids (DIBOA,DIMBOA,BOA)",Canary Grass,Resistant,No Effect,
Sorghum bicolor,"Benzoxazinoids (DIBOA,DIMBOA,BOA)",Wheat,Resistant,No Effect,
Sorghum bicolor,Cyanogenic glycosides (Dhurrin),Wild Oat,High,Strong Exhibition,Cyanogenic Compounds
Sorghum bicolor,Cyanogenic glycosides (Dhurrin),Canary Grass,Moderate,Weakened Exhibition,Cyanogenic Compounds
Sorghum bicolor,Cyanogenic glycosides (Dhurrin),Wheat,Resistant,No Effect,Cyanogenic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Hydroxybenzoic acid,Wild Oat,Moderate,Weakened Exhibition,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,p-Coumaric acid,Canary Grass,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Ferulic acid,Wheat,Resistant,No Effect,Phenolic Compounds
Sorghum bicolor,Sorgoleone,Wild Oat,Moderate,Weakened Exhibition,Quinones
Sorghum bicolor,Sorgoleone,Canary Grass,Moderate,Weakened Exhibition,Quinones
Sorghum bicolor,Sorgoleone,Wheat,Resistant,No Effect,Quinones
Spearmint,Pulegone,Lamb'S Quarters,Moderate,Weakened Exhibition,Terpenoids
Spearmint,Pulegone,Annual Bluegrass,Resistant,No Effect,Terpenoids
Spearmint,Menthol,Lamb'S Quarters,Resistant,No Effect,Terpenoids
Spearmint,Menthol,Annual Bluegrass,Resistant,No Effect,Terpenoids
Spearmint,Pulegone,Broadleaf Weeds,Moderate,Weakened Inhibition,Terpenoids
Spearmint,Menthol,Broadleaf Weeds,Moderate,Strong Inhibition,Terpenoids
Step moss,Vanillic acid,Lettuce,Resistant,No Effect,Phenolic Compounds
Sunflower,Phenolic acids,Parthenium Weed,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Phenolic acids,Parthenium Weed,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Phenolic acids,Horse Purslane,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Phenolic acids,Horse Purslane,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Helianthins,Parthenium Weed,High,Strong Inhibition,Terpenoids
Sunflower,Helianthins,Horse Purslane,High,Strong Inhibition,Terpenoids
Sunflower,Flavonoids (Luteolin),Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Flavonoids (Luteolin),Smooth Pigweed,Moderate,Weakened Exhibition,Phenolic Compounds
Sunflower,Sesquiterpene lactones,Green Foxtail,High,Strong Inhibition,Terpenoids
Sunflower,Sesquiterpene lactones,Smooth Pigweed,High,Strong Inhibition,Terpenoids
Sunflower,Heliannuols,Hairy Crabgrass,Moderate,Weakened Inhibition,Terpenoids
Sunflower,Heliannuols,Prickly Sida,High,Strong Inhibition,Terpenoids
Sunflower,Heliannuols,Common Tumbleweed,Moderate,Weakened Inhibition,Terpenoids
Sunn Hemp,Pyrrolizidine alkaloids,Purple Nutsedge,Resistant,No Effect,Alkaloids
Sunn Hemp,Pyrrolizidine alkaloids,Spiny Pigweed,Moderate,Weakened Inhibition,Alkaloids
Sweet Orange,Citral,Redroot Pigweed,Moderate,Weakened Exhibition,Terpenoids
Sweet Orange,Citral,Lamb'S Quarters,Moderate,Weakened Exhibition,Terpenoids
Sweet Orange,Limonene,Redroot Pigweed,Moderate,Weakened Exhibition,Terpenoids
Sweet Orange,Limonene,Lamb'S Quarters,Moderate,Weakened Exhibition,Terpenoids
Sweet Wormwood,Artemisinin,Smooth Pigweed,Moderate,Weakened Inhibition,Terpenoids
Sweet Wormwood,Artemisinin,Smooth Pigweed,Moderate,Weakened Inhibition,Terpenoids
Sweet Wormwood,Artemisinin,Lamb'S Quarters,Moderate,Weakened Inhibition,Terpenoids
Sweet Wormwood,Artemisinin,Lamb'S Quarters,Moderate,Weakened Inhibition,Terpenoids
Tall Fescue,p-Coumaric acid,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,p-Coumaric acid,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,p-Coumaric acid,Yellow Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,p-Coumaric acid,Yellow Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,Ferulic acid,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,Ferulic acid,Annual Bluegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,Ferulic acid,Yellow Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Tall Fescue,Ferulic acid,Yellow Nutsedge,Moderate,Weakened Exhibition,Phenolic Compounds
Tamarind,Tartaric acid,Barnyardgrass,Resistant,No Effect,Phenolic Compounds
Tamarind,Tartaric acid,Smooth Pigweed,Moderate,Weakened Exhibition,Phenolic Compounds
Tamarind,Tamarindin,Barnyardgrass,Moderate,Weakened Inhibition,Miscellaneous
Tamarind,Tamarindin,Smooth Pigweed,Moderate,Weakened Inhibition,Miscellaneous
Tobacco,Nicotine (Alkaloids),Green Foxtail,High,Strong Inhibition,Alkaloids
Tobacco,Nicotine (Alkaloids),Smooth Pigweed,High,Strong Inhibition,Alkaloids
Tree moss,Phenolic acids,Radish,Moderate,Weakened Exhibition,Phenolic Compounds
Tree moss,Phenolic acids,Radish,Moderate,Weakened Exhibition,Phenolic Compounds
Tree moss,Limonene,Radish,Moderate,Weakened Exhibition,Terpenoids
Turmeric,Curcumin (Phenylpropanoids),Annual Bluegrass,Moderate,Weakened Exhibition,Phenylpropanoids
Turmeric,Curcumin (Phenylpropanoids),Redroot Pigweed,Moderate,Weakened Exhibition,Phenylpropanoids
Velvet Bean,L-DOPA (Amino acids),Guinea Grass,Moderate,Weakened Exhibition,Amino Acid Derivatives
Velvet Bean,L-DOPA (Amino acids),Southern Crabgrass,Moderate,Weakened Exhibition,Amino Acid Derivatives
Wheat,Ferulic acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Ferulic acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Ferulic acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Ferulic acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,p-Coumaric acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,p-Coumaric acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,p-Coumaric acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,p-Coumaric acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Vanillic acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Vanillic acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Syringic acid,Lambsquarters,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Syringic acid,Green Foxtail,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,"Benzoxazinoids (DIMBOA,BOA)",Lambsquarters,Moderate,Weakened Inhibition,
Wheat,"Benzoxazinoids (DIMBOA,BOA)",Green Foxtail,Moderate,Weakened Inhibition,
Wheat,DIMBOA,Wild Oat,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,DIMBOA,Wild Oat,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,DIMBOA,Canary Grass,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,DIMBOA,Canary Grass,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,DIMBOA,Lamb'S Quarters,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,DIMBOA,Lamb'S Quarters,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,Ferulic acid,Annual Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,Ferulic acid,Annual Ryegrass,Moderate,Weakened Exhibition,Phenolic Compounds
Wheat,BOA,Tobacco,High,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,BOA,Maize,Moderate,Weakened Exhibition,Fatty Acids and Derivatives
Wheat,p-Hydroxybenzoic acid,Annual Ryegrass,High,Strong Inhibition,Phenolic Compounds
Wheat,p-Hydroxybenzoic acid,Annual Ryegrass,High,Strong Inhibition,Phenolic Compounds
White Clover,Isoflavonoids,Kentucky Bluegrass,Moderate,Weakened Exhibition,Isoflavonoids
White Clover,Isoflavonoids,Chickweed,Moderate,Weakened Exhibition,Isoflavonoids
White Clover,Isoflavonoids (Genistein),Broadleaf Weeds,Moderate,Weakened Exhibition,Isoflavonoids
White Clover,Isoflavonoids (Genistein),Grasses,Moderate,Weakened Exhibition,Isoflavonoids
White Lupin,Glucosinolates,Annual Bluegrass,Moderate,Weakened Inhibition,Sulfur-Containing Compounds
White Lupin,Quinolizidine alkaloids,Redroot Pigweed,Moderate,Weakened Inhibition,Alkaloids
Woolly moss,Sabinene,Radish,Moderate,Weakened Exhibition,Terpenoids
